player_name,first_serve_pct,first_serve_win_pct,second_serve_win_pct
Tristan Schoolkate,60.2,74.4,48.5
Federico Agustin Gomez,59.1,70.7,49.8
Yi Zhou,61.0,65.0,53.0
Justin Engel,56.4,74.3,45.2
Nishesh Basavareddy,57.5,71.9,52.6
Lukas Pokorny,58.0,65.0,50.0
Nicolai Budkov Kjaer,63.0,66.0,51.0
Martyn Pawelski,59.0,74.0,46.0
Demetris Azoides,53.0,71.0,36.0
Remy Bertola,62.1,68.4,49.2
Petr Nesterov,63.0,70.0,50.0
Adria Soriano Barrera,61.5,72.4,48.1
Andres Andrade,60.8,69.5,50.2
Ioannis Xilas,59.3,67.1,47.4
Lucas Miedler,58.5,73.2,51.1
Kiranpal Pannu,60.1,68.2,46.5
Yanki Erel,62.0,67.5,49.5
N Sriram Balaji,57.4,74.1,48.3
Niki Kaliyanda Poonacha,59.2,72.3,47.1
Franco Roncadelli,64.2,65.4,51.5
Yanaki Milev,61.3,66.2,48.7
Iliyan Radulov,58.4,70.3,49.6
Alan Fernando Rubio Fierros,63.1,64.2,50.4
Hugo Nys,56.7,75.2,47.8
Jack Loutit,60.5,68.7,45.9
Cezar Cretu,62.2,67.4,51.2
Gabi Adrian Boitan,63.5,66.8,50.5
Thomas Yaka Kofi Setodji,60.0,65.0,48.0
Liova Ayite Ajavon,58.0,62.0,46.0
Michael Agwi,58.0,69.0,47.0
Skander Mansouri,60.4,73.1,49.2
Juan Carlos Prado Angelo,62.5,68.0,50.1
Boris Arias,55.4,71.3,46.2
Sebastian Dominko,61.0,70.0,49.0
Stylianos Christodoulou,59.0,66.0,47.0
Diego Duran,62.0,64.0,48.0
Juan Carlos Fuentes Vasquez,60.0,63.0,45.0
Benedict Badza,58.0,61.0,44.0
Oliver Ojakaar,61.0,69.0,50.0
Sina Moghimi,60.0,65.0,48.0
Komlavi Loglo,65.0,64.0,51.0
Kris Van Wyk,59.5,71.0,49.0
Jeevan Nedunchezhiyan,57.0,69.0,48.0
Mousa Shanan Zayed,58.0,60.0,42.0
Karim Hossam,60.0,67.0,49.0
Wayne Odesnik,65.0,68.0,52.0
Jan Hajek,62.0,67.0,50.0
David Guez,64.0,66.0,51.0
Ariel Behar,56.0,72.0,47.0
William Kirkman,59.0,64.0,45.0
Hsien Yin Peng,58.0,70.0,48.0
Janez Semrajc,61.0,68.0,49.0
Mike Urbanija,60.0,66.0,48.0
Andis Juska,57.0,74.0,49.0
Janis Podzus,59.0,72.0,47.0
Arturs Lazdins,58.0,65.0,44.0
Russell Moseley,60.0,63.0,46.0
Daniel Glancy,62.0,65.0,48.0
Micke Kontinen,59.0,71.0,49.0
Herkko Pollanen,61.0,69.0,50.0
Luciano Ramazzini,60.0,64.0,47.0
Elbert Sie,63.0,65.0,49.0
Abdulhameed Alshatti,58.0,60.0,42.0
Christophe Tholl,59.0,63.0,45.0
Sherif Sabry,61.0,67.0,49.0
Joachim Bjerke,60.0,65.0,48.0
Diego Galeano,62.0,68.0,50.0
Sebastian Quiros,60.0,64.0,46.0
Salvador Andres Bolanos,59.0,62.0,44.0
Dineshkanthan Thangarajah,61.0,63.0,45.0
