player_name,aggression_score,court_depth_score
Tristan Schoolkate,35,40
Federico Agustin Gomez,63,60
Yi Zhou,73,71
Justin Engel,74,71
Nishesh Basavareddy,55,53
Lukas Pokorny,59,59
Nicolai Budkov Kjaer,45,46
Martyn Pawelski,65,61
Demetris Azoides,41,50
Remy Bertola,74,75
Petr Nesterov,68,48
Adria Soriano Barrera,68,46
Andres Andrade,40,41
Ioannis Xilas,48,48
Lucas Miedler,72,82
Kiranpal Pannu,69,58
Akira Santillan,49,57
Nino Serdarusic,64,56
Egor Gerasimov,62,52
Dmitry Popko,50,62
Nicolas Alvarez Varona,37,45
Mikhail Kukushkin,56,44
Anthony Genov,62,49
Zizou Bergs,69,64
Dusan Lajovic,53,46
Kamil Majchrzak,64,53
Marius Copil,54,57
Peter Gojowczyk,61,56
Henri Laaksonen,55,53
Cedrik-Marcel Stebe,38,35
Filip Krajinovic,51,42
Federico Coria,57,61
Steve Darcis,60,53
Jozef Kovalik,65,51
Alejandro Tabilo,63,54
Albert Ramos-Vinolas,41,44
Dusan Ristic,48,48
Oscar Otte,74,67
Stefano Napolitano,62,54
Yoshihito Nishioka,50,55
Thiago Monteiro,57,49
Salvatore Caruso,64,56
Juan Pablo Varillas,75,69
Dominic Thiem,51,46
Daniel Altmaier,75,65
Pedro Martinez,60,61
Jaume Munar,36,32
Laslo Djere,68,50
Lorenzo Sonego,66,63
Alexei Popyrin,36,29
Miomir Kecmanovic,61,49
Lloyd Harris,38,40
Soonwoo Kwon,48,50
Mackenzie McDonald,62,55
Reilly Opelka,66,51
Marcos Giron,51,58
Radu Albot,40,43
Horacio Zeballos,39,40
Facundo Bagnis,70,60
Federico Delbonis,55,50
Pablo Andujar,73,72
Guido Andreozzi,49,61
Carlos Taberner,65,54
Roberto Carballes Baena,70,52
Bernabe Zapata Miralles,51,56
Nikoloz Basilashvili,58,39
Taro Daniel,72,69
Tatsuma Ito,38,46
Dudi Sela,43,49
Joao Sousa,43,45
Yen-Hsun Lu,68,58
Alejandro Davidovich Fokina,58,55
Pierre-Hugues Herbert,75,67
Marco Cecchinato,74,65
Gianluca Mager,60,49
Andrea Vavassori,50,39
Ricardas Berankis,61,62
Norbert Gombos,75,64
Lukas Lacko,49,51
Aljaz Bedene,73,66
Ernests Gulbis,52,49
Paolo Lorenzi,40,43
Dmitry Tursunov,73,58
Mikhail Youzhny,37,36
Igor Andreev,67,65
Andreas Seppi,57,46
Albert Montanes,53,47
Marcel Granollers,70,56
Victor Hanescu,69,56
Florian Mayer,48,40
Marcos Baghdatis,66,54
Ivo Minar,61,42
Janko Tipsarevic,36,35
Ivan Dodig,63,57
Mariusz Fyrstenberg,43,48
David Marrero,52,44
Santiago Gonzalez,46,48
Oliver Marach,61,61
Julian Knowle,70,57
Alexander Peya,40,40
Bruno Soares,53,44
Nicolas Mahut,53,49
Edouard Roger-Vasselin,54,42
Radek Stepanek,61,56
Lukas Dlouhy,38,45
Johan Brunstrom,75,57
Jamie Murray,38,47
Neal Skupski,72,70
Ken Skupski,44,42
Colin Fleming,49,63
Dominic Inglot,52,47
Jonathan Erlich,61,46
Andy Ram,67,62
Rohan Bopanna,69,61
Leander Paes,55,49
Mahesh Bhupathi,70,54
Daniel Nestor,68,50
Bob Bryan,55,46
Mike Bryan,69,63
Max Mirnyi,62,62
Jonas Bjorkman,42,42
Todd Woodbridge,73,65
Mark Woodforde,50,39
Paul Haarhuis,54,46
Jacco Eltingh,55,45
Patrick Galbraith,61,42
Jared Palmer,49,50
Sandor Noszaly,58,61
Joshua Eagle,54,49
Eric Taino,67,55
Donald Johnson,52,48
Thomas Enqvist,47,44
Wayne Ferreira,68,57
Magnus Larsson,62,49
Thomas Johansson,55,52
Kenneth Carlsen,52,44
Byron Black,71,60
David Prinosil,58,55
Greg Rusedski,40,38
Patrick Rafter,39,43
Mark Philippoussis,46,47
Tim Henman,70,63
Goran Ivanisevic,45,37
Richard Krajicek,66,52
Yevgeny Kafelnikov,55,52
Michael Stich,63,48
Cedric Pioline,61,60
Andrei Medvedev,57,52
Sergi Bruguera,55,48
Albert Costa,46,40
Carlos Moya,38,47
Juan Carlos Ferrero,50,50
Thomas Muster,62,63
Marc Rosset,62,50
Arnaud Boetsch,55,48
Guillaume Raoux,56,52
Nicolas Escude,36,39
Fabrice Santoro,41,43
Sebastien Grosjean,67,54
Cedric Kauffmann,60,58
Thierry Champion,59,58
Fabrice Martin,58,59
Benjamin Bonzi,65,44
